year,month,witnesses_1,witnesses_1_to_10,witnesses_10_to_25,witnesses_25_to_50,witnesses_50_to_100,witnesses_100_plus
2006,January,25,10,1,0,0,0
2006,February,25,7,0,0,0,0
2006,March,41,8,0,0,0,0
2006,April,26,10,0,0,0,0
2006,May,21,5,0,0,0,0
2006,June,17,3,1,0,0,0
2006,July,22,5,0,0,0,0
2006,August,29,16,0,0,0,0
2006,September,35,12,0,0,0,0
2006,October,35,24,0,0,0,0
2006,November,48,19,0,1,0,0
2006,December,50,12,1,0,0,0
2007,January,38,24,2,0,0,0
2007,February,8,6,0,0,0,0
2007,March,30,7,2,0,0,0
2007,April,24,9,1,0,0,0
2007,May,32,8,0,0,0,0
2007,June,18,10,0,0,0,0
2007,July,32,7,0,0,0,0
2007,August,58,15,0,0,1,0
2007,September,35,19,1,0,0,0
2007,October,45,10,0,0,0,0
2007,November,53,8,1,0,0,0
2007,December,62,21,0,0,0,0
2008,January,31,12,1,0,0,0
2008,February,38,15,1,0,0,0
2008,March,33,14,1,0,0,0
2008,April,30,9,1,0,0,0
2008,May,23,10,0,0,0,0
2008,June,37,14,0,1,0,0
2008,July,33,9,0,0,0,0
2008,August,46,15,0,0,0,0
2008,September,36,11,1,0,0,0
2008,October,50,26,3,0,0,0
2008,November,96,45,5,1,0,0
2008,December,59,26,2,0,0,0
2009,January,61,23,2,0,1,0
2009,February,50,17,2,1,0,0
2009,March,37,15,0,0,0,0
2009,April,39,22,1,0,0,0
2009,May,28,13,0,0,0,0
2009,June,27,10,1,0,0,0
2009,July,39,18,0,0,1,0
2009,August,53,14,2,0,0,0
2009,September,58,20,0,1,0,0
2009,October,52,20,0,0,0,0
2009,November,11,5,0,0,0,0
2009,December,26,9,1,0,0,0
2010,January,22,7,0,0,0,0
2010,February,35,14,1,0,0,0
2010,March,56,19,3,0,0,0
2010,April,45,21,1,0,0,0
2010,May,40,12,1,1,0,0
2010,June,48,12,0,0,0,0
2010,July,58,22,1,0,0,0
2010,August,74,30,0,0,0,0
2010,September,70,30,3,0,0,0
2010,October,53,27,0,0,0,0
2010,November,75,37,3,0,0,0
2010,December,92,39,2,1,0,1
2011,January,115,40,4,1,2,0
2011,February,79,31,2,0,1,1
2011,March,59,32,3,1,0,0
2011,April,71,25,4,2,1,0
2011,May,56,34,1,2,0,0
2011,June,70,23,3,0,0,0
2011,July,76,39,2,2,0,0
2011,August,146,44,3,2,0,0
2011,September,93,51,8,1,0,1
2011,October,118,39,5,2,1,0
2011,November,119,54,2,0,0,0
2011,December,127,59,5,0,1,0
2012,January,106,53,4,1,1,0
2012,February,95,38,5,1,1,1
2012,March,122,39,8,2,2,1
2012,April,82,37,4,1,0,1
2012,May,100,36,2,0,1,0
2012,June,107,30,0,3,0,0
2012,July,105,30,4,0,0,0
2012,August,121,53,6,1,1,0
2012,September,117,65,4,1,1,1
2012,October,183,69,5,2,2,1
2012,November,196,92,6,1,0,0
2012,December,144,76,13,2,1,1
2013,January,168,62,5,3,3,1
2013,February,200,75,8,1,3,0
2013,March,189,83,5,2,3,1
2013,April,108,57,6,1,0,0
2013,May,147,76,10,1,5,3
2013,June,111,63,7,2,0,0
2013,July,134,48,2,1,0,1
2013,August,215,74,7,0,2,0
2013,September,261,104,17,9,7,4
2013,October,295,132,9,3,3,3
2013,November,286,132,9,2,1,1
2013,December,310,104,12,5,2,2
2014,January,256,95,13,2,0,3
2014,February,179,57,9,2,2,2
2014,March,154,71,6,1,0,0
2014,April,139,63,3,0,1,1
2014,May,143,62,4,1,3,1
2014,June,147,53,8,4,0,0
2014,July,178,61,8,2,1,2
2014,August,259,99,10,1,3,1
2014,September,295,139,16,8,2,6
2014,October,241,92,13,6,3,0
2014,November,313,171,13,6,6,2
2014,December,237,101,10,3,3,3
2015,January,205,86,19,3,2,0
2015,February,170,67,12,1,0,3
2015,March,176,76,13,4,1,2
2015,April,147,76,9,3,2,0
2015,May,139,65,5,0,0,1
2015,June,124,61,6,4,1,1
2015,July,174,95,9,1,2,0
2015,August,235,165,10,2,0,1
2015,September,223,117,12,5,1,0
2015,October,258,149,17,2,2,3
2015,November,445,336,47,16,4,2
2015,December,330,100,13,0,2,0
2016,January,281,126,12,2,1,2
2016,February,297,108,11,7,0,6
2016,March,274,105,10,4,5,2
2016,April,252,91,7,2,2,2
2016,May,226,85,3,0,0,1
2016,June,274,94,9,2,2,3
2016,July,261,125,17,7,1,1
2016,August,337,159,14,4,3,2
2016,September,280,156,18,8,2,4
2016,October,333,182,12,10,4,3
2016,November,363,202,15,8,4,4
2016,December,366,171,17,2,0,1
2017,January,299,98,14,5,1,2
2017,February,290,130,10,4,3,2
2017,March,232,113,19,3,3,2
2017,April,231,87,11,2,1,3
2017,May,175,71,11,3,1,0
2017,June,208,110,4,5,3,0
2017,July,274,101,13,3,1,1
2017,August,358,147,7,4,0,2
2017,September,310,139,11,6,5,3
2017,October,391,161,20,9,1,2
2017,November,428,220,26,8,6,7
2017,December,469,200,21,4,3,5
2018,January,318,109,13,5,3,4
2018,February,257,117,20,4,4,3
2018,March,300,118,15,11,3,1
2018,April,240,89,9,4,1,0
2018,May,210,78,6,2,2,0
2018,June,247,98,10,4,3,2
2018,July,351,118,19,5,3,2
2018,August,446,162,13,2,1,3
2018,September,374,152,16,3,4,0
2018,October,422,164,18,6,3,2
2018,November,535,221,21,8,4,4
2018,December,442,151,10,9,2,1
2019,January,404,126,16,5,3,1
2019,February,330,102,13,7,7,2
2019,March,391,114,20,8,3,5
2019,April,340,105,19,2,6,3
2019,May,290,88,10,3,1,1
2019,June,330,120,8,7,3,2
2019,July,409,149,10,4,2,1
2019,August,542,182,14,5,2,2
2019,September,433,166,20,5,6,4
2019,October,393,163,14,4,4,5
2019,November,512,224,15,6,4,2
2019,December,525,232,25,10,7,2
2020,January,415,159,25,5,4,4
2020,February,341,128,16,8,6,2
2020,March,324,124,9,4,0,1
2020,April,403,142,17,4,2,2
2020,May,389,149,15,7,5,1
2020,June,366,132,12,0,0,4
2020,July,558,203,18,14,3,3
2020,August,667,261,22,4,2,2
2020,September,411,162,15,7,1,2
2020,October,481,174,22,8,2,3
2020,November,673,317,43,13,5,5
2020,December,650,268,20,10,3,6
2021,January,460,186,19,3,3,1
2021,February,396,166,22,5,3,7
2021,March,526,218,20,14,9,7
2021,April,356,131,18,5,2,2
2021,May,398,157,22,4,3,1
2021,June,359,127,8,3,0,1
2021,July,418,138,10,3,8,2
2021,August,735,307,21,7,4,2
2021,September,631,240,26,13,4,2
2021,October,667,271,27,18,8,6
2021,November,882,368,29,13,4,5
2021,December,791,291,27,11,9,2
2022,January,548,227,29,5,4,3
2022,February,424,173,18,11,2,0
2022,March,488,197,20,13,3,3
2022,April,342,141,20,7,4,4
2022,May,401,144,12,2,2,2
2022,June,388,134,15,8,3,2
2022,July,529,249,22,11,4,5
2022,August,742,387,29,9,3,1
2022,September,581,255,29,15,1,2
2022,October,759,297,32,11,6,6
2022,November,1140,569,51,23,9,9
2022,December,567,270,23,2,5,1
2023,January,426,187,18,13,4,4
2023,February,437,217,18,11,4,3
